Genes for module 137
LocusLink	Name	P-value	Description
23194	FBXL7	<1e-14	F-box and leucine-rich repeat protein 7.FBL6; FBL7; FLJ11609; KIAA0840.F-box and leucine-rich repeat protein 7.
6616	SNAP25	<1e-14	synaptosomal-associated protein, 25kDa.SNAP; SNAP-25; FLJ23079; bA416N4.2; dJ1068F16.2.synaptosomal-associated protein 25 isoform SNAP25B.
1896	ED1	<1e-14	ectodermal dysplasia 1, anhidrotic.EDA; HED; EDA1; XHED; XLHED.ectodermal dysplasia 1, anhidrotic.
7102	TM4SF2	<1e-14	transmembrane 4 superfamily member 2.A15; MXS1; CD231; CCG-B7; TALLA-1; TM4SF2b; DXS1692E.transmembrane 4 superfamily member 2.
216	ALDH1A1	<1e-14	aldehyde dehydrogenase 1 family, member A1.ALDC; ALDH1; PUMB1; ALDH11; RALDH1; ALDH-E1; MGC2318.aldehyde dehydrogenase 1A1.
10439	OLFM1	<1e-14	olfactomedin 1.AMY; NOE1; OlfA; NOELIN.olfactomedin related ER localized protein isoform 3.
1780	DNCI1	<1e-14	dynein, cytoplasmic, intermediate polypeptide 1.DNCIC1.dynein, cytoplasmic, intermediate polypeptide 1.
8938	BAIAP3	<1e-14	BAI1-associated protein 3.BAP3; KIAA0734.BAI1-associated protein 3.
9568	GPR51	<1e-14	G protein-coupled receptor 51.HG20; GABBR2; GPRC3B; GABABR2.G protein-coupled receptor 51.
794	CALB2	<1e-14	calbindin 2, 29kDa (calretinin).CAL2.calbindin 2 isoform 22k.
5168	ENPP2	<1e-14	ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).ATX; PDNP2; LysoPLD; PD-IALPHA.ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).
214	ALCAM	<1e-14	activated leukocyte cell adhesion molecule.MEMD; CD166.activated leukocyte cell adhesion molecule.
4435	CITED1	<1e-14	Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 1.MSG1.Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 1.
